"Nr.";"Anrede";"Titel";"Vorname";"Nachname";"Geburtsdatum";"Straße";"Hausnummer";"Postleitzahl";"Stadt";"Telefon";"Mobil";"Telefax";"EMail";"Newsletter";"Eintragsdatum"
"608";"Frau";"";"Lise";"Eichenauer";"16.09.2005";"In der Staar";"177 b";"88149";"Nonnenhorn";"08382/54390883";"";"";"lise.eichenauer@web.none";"";"17.06.2009"
"609";"Frau";"";"Bärbl";"Sievert";"26.09.1907";"Scherlebecker Straße";"163c";"70469";"Stuttgart";"0711/1821571";"0172/2094704";"";"baerbl.sievert@company.none";"";"31.03.1959"
"610";"Herr";"";"Alban";"Eckhardt";"25.01.1980";"Schachtweg";"30";"76879";"Bornheim";"06348/24167510";"0160/8459498";"";"alban.80@web.none";"";"15.03.2004"
"611";"k.A.";"";"Karlgünter";"Pawlowski";"20.10.1920";"Denkmalstraße";"23";"67591";"Offstein";"06243/50321690";"0174/1810057";"";"karlguenter_pawlowski@ultramail.none";"ja";"17.08.1922"
"612";"Herr";"";"Kasimir";"Stang";"";"St. Florinusstraße";"128";"54646";"Hisel";"06561/53108419";"0177/7753340";"";"";"";"21.12.2020"
"613";"Frau";"";"Sybill";"Leiser";"26.09.2000";"Bayreuther Straße";"184";"88524";"Uttenweiler";"";"0179/1376649";"07374/82687155";"";"ja";"21.11.2007"
"614";"Herr";"";"Sieghard";"Brutto";"";"Wetzlarer Straße";"1";"53520";"Meuspath";"02691/13333441";"0161/1404875";"";"";"";"16.06.2015"
"615";"Frau";"";"Irma";"Gröning";"";"Bachstelzenweg";"15 b";"86513";"Ursberg";"08281/80962774";"0150/2774474";"";"";"ja";"01.05.2018"
"616";"Frau";"";"Ingelies";"Kühr";"";"Zur alten Burg";"185";"73776";"Altbach";"07153/68411348";"";"";"ingelies.kuehr@open-mail.none";"";"15.12.1965"
"617";"Herr";"";"Nepomuk";"Radermacher";"10.11.2015";"Rinkerodeweg";"13";"12589";"Treptow-Köpenick";"030/48241869";"";"";"nepomuk.radermacher@net-mail.none";"ja";"02.08.2020"
"618";"Frau";"";"Erica";"Nölke";"";"Höfenstraße";"85";"37412";"Hörden am Harz";"05584/89169469";"0167/8746733";"";"";"";"17.10.2003"
"619";"Frau";"Prof. Dr.";"Elfgund";"Weißenberger";"30.06.1963";"Höhenring";"134";"53506";"Rech";"02643/92810599";"0150/2571198";"";"elfgundweissenberger@ultramail.none";"";"27.06.2012"
"620";"Frau";"";"Friedegunde";"Steinbrink";"";"Lindenhof";"60";"37136";"Ebergötzen";"";"0153/1649755";"";"friedegundesteinbrink@kitty.none";"";"16.08.1969"
"621";"Frau";"";"Friedliese";"Klinker";"";"Im Neuen Garten";"89";"42287";"Wuppertal";"0202/56873278";"0167/2426542";"";"friedliese-53@bestmail.none";"";"11.11.1955"
"622";"Frau";"";"Clarissa";"Hauk";"";"Rosenheimer Straße";"78";"56729";"Anschau";"02651/45450132";"0163/9187143";"";"";"";"07.05.1945"
"623";"Herr";"";"Joseph";"Große";"";"Werningslebener Straße";"169 a";"55430";"Oberwesel";"06744/99100034";"0154/5971971";"";"";"";"13.09.1996"
"624";"Herr";"";"Emmerich";"Rensch";"19.04.1986";"Auf dem Hof";"95";"56357";"Geisig";"";"0160/2900379";"";"";"";"27.09.2022"
"625";"k.A.";"";"Silas";"Bösel";"05.09.2022";"Dollendorfer Straße";"69";"50733";"Köln";"0221/7591391";"0173/3580814";"";"s.boesel@funmail.none";"";"24.09.2022"
"626";"Frau";"";"Marielouise";"Nachtmann";"09.10.2006";"Ortelsburgweg";"51";"34260";"Kaufungen";"05605/39925522";"0171/2736625";"";"marielouise_06@net-mail.none";"nein";"17.09.2007"
"627";"Herr";"";"Meik";"Goede";"09.11.1957";"Vor dem Berg";"28";"56754";"Forst";"02672/53745126";"0172/2963775";"";"";"";"05.07.1962"
"628";"Herr";"";"Rainer";"Pischke";"";"Ahrfeldstraße";"38";"87659";"Hopferau";"";"0171/7231045";"";"r2003@trashmail.none";"ja";"14.10.2010"
"629";"Herr";"";"Hanno";"Brunotte";"";"Maasweg";"166";"33647";"Bielefeld";"";"0169/3860240";"";"hannobrunotte@validmail.none";"";"14.03.2022"
"630";"Herr";"";"Tobias";"Klare";"";"Zum Röthchen";"185";"60433";"Frankfurt am Main";"069/67406455";"0162/1183978";"";"t_klare@funmail.none";"ja";"03.10.1999"
"631";"Frau";"";"Gabi";"Tröger";"";"Schartenbergstraße";"150";"54316";"Bonerath";"06588/47487226";"0153/6176329";"";"gabitroeger@trashmail.none";"ja";"31.07.1975"
"632";"Herr";"";"Fridulf";"Kilinc";"06.04.1935";"Nickenicher Straße";"81";"64673";"Zwingenberg";"06251/4804200";"0163/3566668";"";"fridulf.kilinc@mymail.none";"";"18.10.2006"
"633";"Frau";"";"Heidegret";"Schober";"13.06.1909";"Brockamp";"150";"88239";"Wangen";"07522/13294151";"";"";"heidegret.schober@goggle-mail.none";"ja";"23.07.1988"
"634";"Herr";"";"Dionys";"Räder";"";"Mühlenstiege";"44";"61462";"Königstein";"06174/53734956";"";"";"dionys_raeder@retromail.none";"ja";"31.03.1940"
"635";"Herr";"";"Oscar";"Büsing";"";"Laakstraße";"152";"66907";"Glan-Münchweiler";"";"";"";"oscarbuesing@email.none";"";"17.06.2004"
"636";"Frau";"";"Cora";"Velten";"";"Grunewald";"1";"76744";"Wörth am Rhein";"07271/98566576";"0159/4188625";"";"coravelten@net-mail.none";"";"14.10.1956"
"637";"k.A.";"";"Agilbert";"Stützer";"";"Buchfinkenstraße";"78";"31582";"Nienburg";"05021/71513388";"0153/1265324";"05021/43897540";"agilbert_stuetzer@funmail.none";"";"15.06.2022"
"638";"Herr";"";"Utz";"Buchta";"17.11.1975";"Dreyer Straße";"124";"54570";"Neroth";"06591/52270603";"";"06591/30586021";"utz.buchta@validmail.none";"";"06.06.2014"
"639";"k.A.";"";"Clotilde";"Rehbein";"";"Am Brunnenbach";"166";"76829";"Landau";"06341/99761356";"0158/2172213";"";"clotilde2002@private.none";"";"27.08.2004"
"640";"Herr";"";"Phillip";"Fenner";"";"Wibbeltweg";"71";"59302";"Oelde";"02522/96798859";"0170/4184245";"";"";"";"09.04.2019"
"641";"k.A.";"";"Mohamed";"Gies";"";"Planplatz";"163";"24899";"Wohlde";"";"0159/7581466";"";"m49@ultramail.none";"";"08.06.1989"
"642";"Herr";"";"Birk";"Röhling";"";"Am Eichenkamp";"46";"26556";"Nenndorf";"04975/82200088";"0161/8965562";"";"b.roehling@company.none";"nein";"12.05.1967"
"643";"Herr";"";"Friedwin";"Schaper";"03.10.1982";"Am Pfaffengraben";"117";"68307";"Mannheim";"0621/62481037";"0164/5493107";"";"";"";"11.07.2012"
"644";"Frau";"";"Irma";"Martensen";"";"Alter Weg";"63";"78262";"Gailingen am Hochrhein";"07734/72398227";"0179/8864843";"";"irma.martensen@justmail.none";"";"26.12.1996"
"645";"Frau";"";"Waldtraut";"Metze";"12.04.1962";"Narzissenweg";"30";"55626";"Bundenbach";"06544/67783861";"0153/7580575";"";"waldtraut_metze@anymail.none";"";"06.10.1977"
"646";"k.A.";"Dr.";"Marvin";"Johanning";"28.08.1955";"Mühlenfeld";"177";"27578";"Bremerhaven";"0471/41927530";"0177/7716580";"";"marvinjohanning@company.none";"";"07.03.2005"
"647";"k.A.";"";"Lars";"Willeke";"";"Harle";"198";"58809";"Neuenrade";"02392/71540236";"";"";"lars-willeke@trashmail.none";"";"26.05.1997"
"648";"Frau";"";"Reinhildis";"Kühnast";"";"Breslauer Weg";"163";"26427";"Stedesdorf";"04971/81363899";"0170/6368165";"";"r_kuehnast@web.none";"ja";"22.06.1961"
"649";"Frau";"";"Herlind";"Walser";"";"Rönnenthal";"150";"66904";"Börsborn";"06383/69022694";"0166/8935804";"";"herlind.walser@private.none";"";"29.11.2013"
"650";"Frau";"";"Edda";"Meinel";"";"Am Krankenhaus";"63b";"29345";"Unterlüß";"";"0162/2161982";"";"eddameinel@company.none";"";"27.06.2021"
"651";"Frau";"";"Friedegunde";"Geiselhart";"01.03.1994";"Motzstraße";"57";"72285";"Pfalzgrafenweiler";"07445/92091486";"";"";"fgeiselhart@inter-mail.none";"";"13.07.2006"
"652";"Frau";"Dr.";"Sofia";"Rach";"05.07.2010";"Eulenweg";"62";"25774";"Lunden";"04882/75748755";"0165/3702187";"";"srach@validmail.none";"";"05.10.2017"
"653";"Herr";"";"Egbert";"Manegold";"";"Häberlstraße";"188";"57638";"Neitersen";"02681/68548995";"";"";"egbertmanegold@open-mail.none";"";"18.08.2007"
"654";"Frau";"";"Noa";"Smith";"";"Wichernstraße";"73";"52064";"Aachen";"0241/98475676";"";"";"noa_smith@retromail.none";"";"27.08.1988"
"655";"Frau";"";"Rudolfina";"Thoben";"02.05.1935";"Effnerstraße";"34";"53121";"Bonn";"0228/96652573";"0167/5348223";"";"";"";"15.09.1968"
"656";"Herr";"";"Alhard";"Voss";"";"Andreasstraße";"117";"37434";"Bodensee";"05528/81316972";"";"05528/98786159";"";"";"18.10.1994"
"657";"Herr";"Prof.";"Ferfried";"Brönner";"";"Wiltbergstraße";"169";"56357";"Gemmerich";"06772/58239245";"0176/9506155";"06772/82279188";"ferfried_56@domain.none";"nein";"22.04.2003"
"658";"Herr";"Prof. Dr. Dr.";"Neithart";"Doege";"";"Kurt-Schumacher-Platz";"60";"56729";"Ditscheid";"02651/87008037";"0166/5378710";"";"";"ja";"20.04.2000"
"659";"Frau";"";"Alwine";"Petry";"";"Molkereiweg";"169";"67466";"Lambrecht";"06325/62589896";"0163/7387766";"";"alwine_1944@mymail.none";"";"21.07.1992"
"660";"Frau";"";"Isolde";"Büschel";"28.04.1920";"Lembecker Straße";"164 a";"27798";"Hude";"0421/39283111";"0179/9303396";"";"i.bueschel@mymail.none";"ja";"30.12.1922"
"661";"Frau";"Prof. Dr. Dr.";"Christsolde";"Lambertz";"";"Zur Alten Weberei";"107";"85609";"Aschheim";"";"";"";"c_92@hoster.none";"";"15.02.2009"
"662";"Herr";"";"Eginhard";"Beutel";"";"Am Bimbach";"125";"82057";"Icking";"08178/60158594";"";"";"eginhard.2013@anymail.none";"";"23.02.2015"
"663";"Herr";"";"Arnfred";"Wirtz";"";"Emdener Straße";"82";"89434";"Blindheim";"";"0159/1506520";"";"a1980@funmail.none";"ja";"15.07.2011"
"664";"k.A.";"";"Tiemo";"Hacker";"19.01.1984";"Galenberger Weg";"101";"25557";"Beldorf";"04872/15718751";"0156/3490722";"";"t_hacker@funmail.none";"ja";"22.07.2008"
"665";"Frau";"";"Jamie";"Eisenblätter";"21.04.1910";"Im Graben";"76";"54636";"Scharfbillig";"06561/32832122";"0170/2738764";"";"jamie_eisenblaetter@bestmail.none";"";"13.01.1924"
"666";"Herr";"";"Claus";"Harrer";"";"Im Gassenstück";"180";"53773";"Hennef";"02242/85773372";"0156/8776798";"";"claus_harrer@xyz.none";"nein";"07.11.2016"
"667";"Frau";"";"Heidemaria";"Bingel";"";"Fauviller Ring";"85";"83395";"Freilassing";"08654/15590777";"0166/4280898";"";"hbingel@mymail.none";"";"17.04.1975"
"668";"Herr";"";"Alexander";"Greb";"18.05.1996";"In den Gruben";"8";"53937";"Schleiden";"";"0158/1575674";"";"agreb@hoster.none";"ja";"04.11.2007"
"669";"Frau";"";"Käte";"Otto";"22.08.1904";"Stahlenhauser Straße";"196";"95509";"Marktschorgast";"";"0162/5557432";"";"";"";"02.09.1908"
"670";"Frau";"";"Hildegard";"Reutter";"04.09.1966";"Binnefeldstraße";"143";"54675";"Kruchten";"06564/72756885";"";"";"h-reutter@kitty.none";"";"31.03.1975"
"671";"Frau";"Prof.";"Celine";"Osman";"";"Steverstraße";"79";"19288";"Groß Laasch";"03874/38077083";"0178/5899482";"";"celine_osman@mymail.none";"";"08.05.2013"
"672";"Herr";"";"Jonny";"Tischer";"";"Waldbröler Straße";"8";"66539";"Neunkirchen";"06821/45520631";"0162/2072046";"";"jonny-tischer@web.none";"";"12.11.2002"
"673";"Herr";"";"Wenzel";"Löwenstein";"";"Frankenfeld";"27";"61138";"Niederdorfelden";"06101/86040696";"";"";"";"";"18.01.2005"
"674";"Herr";"Dr.";"Benediktus";"Mergel";"";"Wormersdorfer Straße";"176";"82435";"Bad Bayersoien";"08845/61573355";"0168/2435978";"";"benediktus-mergel@inter-mail.none";"";"20.05.1979"
"675";"Herr";"";"Herwart";"Rascher";"21.07.1962";"Damaschkestraße";"139";"67297";"Marnheim";"";"0163/7449163";"";"herwart.rascher@ultramail.none";"ja";"17.03.2016"
"676";"Frau";"";"Ortraud";"Wittig";"";"Elsetalstraße";"129";"39638";"Kassieck";"03907/78407292";"0170/6308332";"";"";"";"30.05.2019"
"677";"Herr";"";"Samuel";"Krings";"14.10.2012";"Quellstraße";"73 c";"55629";"Weitersborn";"06752/6283514";"0168/1890787";"06752/82495885";"samuel-12@live-mail.none";"";"11.10.2020"
"678";"Herr";"";"Sigwart";"Rietz";"07.01.2001";"Am Südhang";"59";"39638";"Hemstedt";"";"";"";"s-rietz@open-mail.none";"nein";"10.11.2021"
"679";"Frau";"";"Henriette";"Siegl";"";"Merziger Straße";"76";"55767";"Nohen";"06782/5631446";"0167/9354017";"";"henriette_siegl@spam-mail.none";"nein";"07.03.1984"
"680";"Herr";"";"Jost";"Seeberger";"30.06.1997";"Hüfferstraße";"81";"17087";"Altentreptow";"03961/58798974";"0155/7039544";"";"";"ja";"24.04.2016"
"681";"Frau";"";"Arite";"Dombrowski";"";"Scheidinger Straße";"168c";"71296";"Heimsheim";"07033/95332519";"0165/4268547";"07033/53707271";"";"";"15.03.2018"
"682";"Herr";"";"Thomas";"Eberlein";"";"In der Eule";"96";"56459";"Elbingen";"06435/28050130";"0154/1657194";"";"thomaseberlein@open-mail.none";"";"27.12.2004"
"683";"Herr";"";"Hansgünther";"Schillings";"";"Handwerkerstraße";"106c";"53534";"Wirft";"02691/30916501";"";"";"hschillings@private.none";"";"24.11.2021"
"684";"Frau";"";"Ilsabe";"Kohlhaas";"";"Rincklakeweg";"39";"89176";"Asselfingen";"";"";"";"i_kohlhaas@company.none";"nein";"10.09.1992"
"685";"Herr";"";"Frankmut";"Hugo";"";"Am Schlagbaum";"57";"13347";"Wedding";"030/21350716";"";"";"";"ja";"18.07.1976"
"686";"Frau";"";"Mirja";"Kromm";"11.01.1996";"Menzelweg";"27";"17489";"Greifswald";"03834/37950717";"0175/7532682";"";"m.kromm@trashmail.none";"";"21.10.1996"
"687";"Frau";"";"Hanneliese";"Stang";"27.08.1947";"Gänsweiherweg";"10";"24238";"Lammershagen";"04384/86936233";"0163/7785216";"";"hanneliese-stang@xyz.none";"";"10.11.1970"
"688";"Herr";"";"Magnus";"Utech";"";"Uhuweg";"78";"85399";"Hallbergmoos";"0811/22852518";"0164/7045606";"";"magnus_utech@domain.none";"";"15.05.1989"
"689";"Herr";"";"Otthein";"Kaatz";"";"Grenzhäuser Straße";"155";"44319";"Dortmund";"";"0159/5647221";"";"o.kaatz@funmail.none";"ja";"04.01.2018"
"690";"Herr";"";"Hanshermann";"Wegmann";"20.12.1952";"Niederdrove";"124";"97236";"Randersacker";"0931/33758293";"0179/7752645";"";"h-wegmann@web.none";"";"25.11.2008"
"691";"Frau";"";"Roslinda";"Dinter";"";"Horstmarer Straße";"146";"27432";"Hipstedt";"04768/30649700";"0178/7010230";"";"";"";"10.08.2014"
"692";"Herr";"Dr.";"Waldemar";"Baumgartl";"15.07.1928";"Imhäuserhof";"68b";"56242";"Selters";"";"0173/7843313";"";"waldemarbaumgartl@retromail.none";"ja";"27.01.1941"
"693";"k.A.";"";"Carmen";"Dost";"";"Haßlinghauser Straße";"45";"53520";"Wershofen";"02694/26836440";"0156/5636588";"";"cdost@quickmail.none";"";"19.02.1946"
"694";"Herr";"";"Jobst";"Winterhalter";"12.08.1957";"In der Enke";"141";"40479";"Düsseldorf";"0211/57960501";"0179/6908518";"";"jobst.winterhalter@bestmail.none";"";"06.03.1964"
"695";"Frau";"";"Constanze";"Thieme";"";"Jägerskamp";"151";"86169";"Augsburg";"0821/7062277";"0165/7735307";"";"c-thieme@kitty.none";"";"06.08.1974"
"696";"Frau";"";"Rosie";"Masuch";"25.11.2001";"Barrwiese";"157";"25764";"Norddeich";"04823/61285527";"0177/8677831";"";"rosiemasuch@trashmail.none";"ja";"06.01.2010"
"697";"Frau";"";"Elwine";"Krahe";"16.10.1952";"Brunnenwiesenweg";"127";"72818";"Trochtelfingen";"07124/17361706";"0178/1230420";"";"elwine.krahe@email.none";"ja";"10.12.1959"
"698";"Frau";"";"Marianne";"Brückner";"10.07.1985";"Walder Straße";"78";"24361";"Holzbunge";"04356/35270407";"0150/8191691";"";"";"ja";"24.02.2022"
"699";"Herr";"";"Manfred";"Vedder";"01.05.2000";"Am Breiten Busch";"125";"68229";"Mannheim";"0621/26488349";"";"";"manfred_vedder@live-mail.none";"";"25.01.2006"
"700";"Frau";"";"Elenore";"Bredemeier";"";"Am Kranzfeld";"80";"70374";"Stuttgart";"";"0176/7756847";"";"elenore-bredemeier@retromail.none";"";"18.07.2004"
"701";"Frau";"";"Greta";"Kirsten";"";"Juri-Gagarin-Straße";"116";"56271";"Kleinmaischeid";"";"";"";"g_kirsten@quickmail.none";"ja";"09.03.1966"
"702";"Frau";"Dr.";"Lidia";"Schmelz";"22.04.1992";"Ludwig-van-Beethoven-Straße";"46";"76726";"Germersheim";"07274/37861348";"0161/4736139";"07274/49174128";"lidia-92@trashmail.none";"";"15.01.1998"
"703";"k.A.";"";"Hedda";"Tietz";"15.03.1903";"Hügelstraße";"133";"79650";"Schopfheim";"07622/39748980";"0152/4552798";"";"h_tietz@justmail.none";"";"06.11.1940"
"704";"k.A.";"";"Merle";"Stuke";"10.01.1962";"Pfotenhauerstraße";"145";"83346";"Bergen";"08662/14850917";"0160/5865333";"";"merlestuke@xyz.none";"";"31.01.2022"
"705";"Herr";"";"Siegwald";"Siegert";"";"Britzinger Straße";"45";"93471";"Arnbruck";"";"0156/9099690";"";"siegwald-1997@live-mail.none";"nein";"24.06.1998"
"706";"Frau";"";"Rosl";"Heering";"";"Het Nieland";"114";"17111";"Lindenberg";"03994/60641727";"0153/8556686";"";"rheering@funmail.none";"";"16.06.2021"
"707";"k.A.";"";"Sighilde";"Rath";"";"Kreuzberg";"30";"25938";"Witsum";"04681/71045918";"0173/3021284";"";"sighilde.rath@web.none";"ja";"09.01.2003"
"708";"Herr";"";"Rolf";"Gonzalez";"";"In den Höfen";"152";"40212";"Düsseldorf";"0211/66562835";"";"";"r.gonzalez@private.none";"ja";"07.10.2021"
"709";"Herr";"";"Friedebert";"Kreutz";"";"Bühlingen";"76";"57645";"Nister";"02662/87630763";"0155/1466147";"";"friedebert.kreutz@validmail.none";"ja";"11.07.2020"
"710";"Herr";"";"Gerwin";"Lüneburg";"";"Kustrenaer Straße";"9";"25938";"Dunsum";"04681/40224140";"0173/3655040";"";"gerwin.lueneburg@quickmail.none";"";"07.08.1942"
"711";"Frau";"";"Frohlinde";"Bamberger";"12.04.1984";"Tiller Straße";"87";"83607";"Holzkirchen";"08024/19795457";"0167/4124344";"08024/46027196";"f.bamberger@live-mail.none";"";"04.03.2012"
"712";"Herr";"";"Edgar";"Steinbach";"";"Fürkhofstraße";"51";"49451";"Holdorf";"05494/36227421";"0174/6002474";"";"edgarsteinbach@ultramail.none";"";"21.03.2016"
"713";"Herr";"";"Gotthilf";"Wellnitz";"";"Hölkenbusch";"164";"83677";"Reichersbeuern";"08041/47774638";"0155/2342631";"";"g_wellnitz@xyz.none";"";"05.08.1979"
"714";"Herr";"";"Antonio";"Gerling";"";"Köhlerstraße";"22";"96167";"Königsfeld";"09207/15335592";"";"09207/78082487";"a_gerling@retromail.none";"";"10.06.1947"
"715";"Herr";"";"Ottheinrich";"Hermsdorf";"";"Litzenbachstraße";"95";"54597";"Lünebach";"";"0177/1651386";"";"";"";"12.09.2019"
"716";"Frau";"";"Iris";"Day";"";"Immermannstraße";"4";"54426";"Merschbach";"";"0151/1630258";"";"iris_day@spam-mail.none";"";"08.02.1958"
"717";"Herr";"";"Arnhart";"Ringwald";"01.06.1987";"Oberste Ströthe";"173";"79282";"Ballrechten-Dottingen";"07634/30098358";"0159/8673082";"";"arnhartringwald@xyz.none";"";"03.09.2007"
"718";"k.A.";"";"Matti";"Wentzel";"11.05.1945";"Jan-Wellem-Straße";"70";"69493";"Hirschberg an der Bergstraße";"06201/86931147";"0154/1916840";"";"mattiwentzel@quickmail.none";"";"15.03.1975"
"719";"Herr";"";"Gunnar";"Armbrecht";"";"Fiersbacher Straße";"183";"67591";"Wachenheim";"06243/53262498";"";"";"gunnar_armbrecht@validmail.none";"ja";"05.04.2018"
"720";"Frau";"";"Ingemarie";"Weickert";"";"Auf dem Schelberg";"172";"48167";"Münster";"0251/9763754";"";"";"i.13@mymail.none";"";"05.09.2013"
"721";"Frau";"";"Kriemhild";"McDaniel";"";"Josef-Leusch-Straße";"8";"54570";"Neroth";"06591/35355370";"";"";"kriemhild-mcdaniel@validmail.none";"ja";"10.05.2012"
"722";"Frau";"";"Jessika";"Niggemann";"";"Ellbachstraße";"73";"24790";"Haßmoor";"04331/99570990";"0156/7786181";"";"jessikaniggemann@open-mail.none";"ja";"07.11.1999"
"723";"Herr";"";"Hildebert";"Haider";"28.03.2009";"Herrengarten";"162";"90762";"Fürth";"0911/75976804";"0155/1269411";"";"h-haider@bestmail.none";"";"18.01.2013"
"724";"Frau";"Dr.";"Emmy";"Oberhauser";"29.10.1932";"Sonnenhang";"26";"54668";"Ernzen";"06525/31069500";"0175/6103114";"";"emmyoberhauser@hoster.none";"";"22.02.1955"
"725";"Herr";"";"Nikolaus";"Benndorf";"";"Breischer Weg";"85";"76879";"Knittelsheim";"07272/41528221";"0174/2456536";"07272/15878354";"nikolausbenndorf@xyz.none";"ja";"27.05.1995"
"726";"Herr";"";"Ekhardt";"Burton";"";"Ederener Straße";"100";"73776";"Altbach";"07153/49659994";"0179/5272007";"";"ekhardt_burton@xyz.none";"";"02.01.1982"
"727";"Frau";"";"Zenzi";"Papp";"";"Herchenbergweg";"30";"26919";"Brake";"";"";"";"zenzi.papp@retromail.none";"ja";"27.07.1918"
"728";"Frau";"";"Annekathrin";"Irion";"";"Erbacherstraße";"23";"39120";"Magdeburg";"";"";"";"annekathrin.irion@web.none";"ja";"10.12.2021"
"729";"Herr";"";"Meinrad";"Stauber";"";"Im Hostert";"58";"31867";"Pohle";"05723/44206264";"";"";"m_stauber@ultramail.none";"";"23.06.1989"
"730";"Herr";"";"Sighard";"Weißenfels";"19.05.1934";"Unterm Beggenbeil";"89";"35799";"Merenberg";"";"0169/9583556";"";"sighard1934@web.none";"";"14.05.1986"
"731";"Frau";"";"Ingedore";"Duschek";"";"Heideweg";"125";"15518";"Grünheide";"03362/50477352";"";"";"i.duschek@anymail.none";"";"12.01.1994"
"732";"Frau";"";"Emmely";"Paul";"13.11.1912";"Grafinger Straße";"136";"54570";"Rockeskyll";"06591/1251140";"0160/5607402";"";"emmelypaul@spam-mail.none";"";"12.03.1934"
"733";"Frau";"";"Rebecka";"Graichen";"";"Vor dem Berg";"110";"54673";"Preischeid";"";"0168/4734378";"";"rgraichen@private.none";"nein";"27.07.2022"
"734";"Herr";"";"Dagomar";"Klauser";"07.04.1938";"Steinhardtstraße";"147";"55237";"Flonheim";"06734/44728391";"0177/7745194";"06734/37661545";"dagomarklauser@trashmail.none";"";"10.09.1942"
"735";"Frau";"";"Waltrud";"Korf";"24.06.2018";"Morsbach";"164";"84524";"Neuötting";"08671/70107922";"";"";"w_korf@domain.none";"ja";"12.04.2021"
"736";"Herr";"";"Baldur";"Thaller";"";"Frintroper Straße";"183";"97421";"Schweinfurt";"09721/81722936";"0170/5321224";"";"b-thaller@mymail.none";"";"15.08.1983"
"737";"Frau";"";"Lilibeth";"Bruder";"15.09.1949";"Westerholtstraße";"179";"69429";"Waldbrunn";"06274/87126789";"0172/7497369";"06274/76123439";"lilibeth.bruder@justmail.none";"";"21.11.1984"
"738";"Herr";"";"Connor";"Seelmann";"";"Nordbrede";"131";"65624";"Altendiez";"06432/68761028";"0171/1805144";"";"connor_1906@email.none";"ja";"23.02.2018"
"739";"Herr";"";"Theophil";"Reeh";"22.01.1978";"Rehkopfweg";"132";"56769";"Bereborn";"02692/40208780";"";"02692/55299971";"";"";"06.02.1988"
"740";"Herr";"Dr.";"Volkhardt";"Tauber";"22.03.2012";"Vogelsangstraße";"12";"07548";"Gera";"0365/25087417";"0163/3176270";"";"volkhardt_2012@ultramail.none";"";"11.06.2019"
"741";"Herr";"";"Tore";"Pruß";"";"Kurtstraße";"137";"48619";"Heek";"02568/78672071";"0169/7807698";"";"tore.pruss@mymail.none";"";"07.08.1972"
"742";"Herr";"";"Matteo";"Witte";"05.08.1949";"Kirschbaumstraße";"114";"25335";"Neuendorf";"04124/7974405";"0169/7502683";"";"matteo_witte@company.none";"";"19.09.1953"
"743";"Frau";"";"Mechtilde";"Schenker";"";"Im Sande";"94";"69251";"Gaiberg";"06223/39982091";"0169/8162330";"";"mechtilde-32@ultramail.none";"";"31.10.1992"
"744";"Frau";"";"Mechtild";"Herzog";"";"Landstraße";"106";"27259";"Freistatt";"05448/88949654";"0172/6243288";"";"mechtild_herzog@anymail.none";"";"04.07.1986"
"745";"Frau";"";"Krimhilde";"Himmel";"";"Hoerstgener Weg";"35";"67098";"Bad Dürkheim an der Weinstraße";"06322/50650198";"";"";"";"";"04.07.1997"
"746";"Frau";"";"Heidegret";"Stucke";"";"Johann-Krane-Weg";"57";"25881";"Westerhever";"04862/35013835";"0152/3646428";"";"heidegret_02@inter-mail.none";"ja";"04.08.2015"
"747";"Herr";"";"Johann";"Jürges";"";"Im Brünnlislehen";"131";"77716";"Fischerbach";"";"0161/6873542";"";"j1967@inter-mail.none";"";"20.02.2004"
"748";"Herr";"";"Jeremie";"Schwarzkopf";"";"Bodenseestraße";"36";"49176";"Hilter am Teutoburger Wald";"05409/91289858";"";"";"jeremie_1939@kitty.none";"";"11.08.1966"
"749";"Herr";"";"Leon";"Raasch";"";"Niederstraße";"78";"56594";"Willroth";"02687/36580406";"0153/4920076";"02687/97065948";"l.1990@inter-mail.none";"ja";"15.04.2022"
"750";"Herr";"";"Emmeram";"Mill";"";"St.-Thomaser-Hohl";"104";"47627";"Kevelaer";"";"";"";"emmeram.03@inter-mail.none";"ja";"07.04.1925"
"751";"Frau";"";"Wolfhilde";"Jäkel";"";"Kirschtalweg";"124";"56132";"Miellen";"";"0166/4919969";"";"";"";"07.03.2013"
"752";"Herr";"";"Manhold";"Wachholz";"13.09.1976";"Föhrenweg";"43";"56370";"Berndroth";"06486/88737594";"0159/7497063";"";"m-wachholz@email.none";"nein";"08.08.2005"
"753";"Frau";"";"Alyssa";"Oestreicher";"";"Lembecker Straße";"135";"54664";"Auw an der Kyll";"06562/78582947";"";"";"alyssaoestreicher@justmail.none";"";"18.12.1997"
"754";"Herr";"";"Marcellus";"Pies";"17.02.1913";"Wittgensteiner Straße";"155";"54518";"Sehlem";"";"0174/8940834";"";"mpies@trashmail.none";"";"23.06.1919"
"755";"Herr";"";"Otheinrich";"Sondermann";"";"Bottroper Straße";"168";"25358";"Horst";"";"";"";"";"";"23.10.2004"
"756";"Frau";"";"Hermi";"Göhler";"";"Sümbergstraße";"118";"93455";"Traitsching";"09974/56626484";"0159/3533274";"09974/19184830";"hermigoehler@live-mail.none";"";"19.06.2010"
"757";"Herr";"";"Jan";"Stock";"";"An den Kirschbäumen";"44";"54316";"Pluwig";"06588/68554931";"0174/4192516";"";"jan.1984@hoster.none";"ja";"13.06.2021"
